,image,xmin,ymin,xmax,ymax,class
0,AMD Part1/AMD (3)/Image (14).png,456,257,511,280,PRlayerdisruption
1,AMD Part1/AMD (3)/Image (14).png,308,297,340,309,Harddrusen
2,AMD Part1/AMD (3)/Image (16).png,341,291,351,306,Harddrusen
3,AMD Part1/AMD (3)/Image (16).png,256,302,281,316,Harddrusen
4,AMD Part1/AMD (3)/Image (16).png,210,307,230,321,Harddrusen
5,AMD Part1/AMD (3)/Image (16).png,238,309,255,320,Harddrusen
6,AMD Part1/AMD (3)/Image (16).png,446,262,511,294,PRlayerdisruption
7,AMD Part1/AMD (3)/Image (18).png,155,302,177,327,Softdrusen
8,AMD Part1/AMD (3)/Image (18).png,254,297,287,321,Softdrusen
9,AMD Part1/AMD (3)/Image (18).png,227,299,248,321,Harddrusen
10,AMD Part1/AMD (3)/Image (20).png,185,283,253,340,Softdrusen
11,AMD Part1/AMD (3)/Image (20).png,275,300,301,316,Harddrusen
12,AMD Part1/AMD (3)/Image (20).png,331,294,356,314,Harddrusen
13,AMD Part1/AMD (3)/Image (20).png,388,290,399,309,Harddrusen
14,AMD Part1/AMD (3)/Image (21).png,178,283,264,333,Softdrusen
15,AMD Part1/AMD (3)/Image (21).png,272,292,294,328,Softdrusen
16,AMD Part1/AMD (3)/Image (21).png,343,293,361,313,Softdrusen
17,AMD Part1/AMD (3)/Image (21).png,298,296,311,319,Softdrusen
18,AMD Part1/AMD (3)/Image (21).png,369,291,382,312,Softdrusen
19,AMD Part1/AMD (3)/Image (21).png,385,286,400,306,Softdrusen
20,AMD Part1/AMD (3)/Image (26).png,272,275,329,324,Softdrusen
21,AMD Part1/AMD (3)/Image (26).png,218,299,235,329,Softdrusen
22,AMD Part1/AMD (3)/Image (26).png,170,311,180,329,Softdrusen
23,AMD Part1/AMD (3)/Image (26).png,192,306,202,329,Softdrusen
24,AMD Part1/AMD (3)/Image (26).png,346,289,385,310,Harddrusen
25,AMD Part1/AMD (3)/Image (28).png,181,294,209,331,Softdrusen
26,AMD Part1/AMD (3)/Image (28).png,218,300,232,326,Softdrusen
27,AMD Part1/AMD (3)/Image (28).png,260,301,274,323,Softdrusen
28,AMD Part1/AMD (3)/Image (28).png,293,286,342,321,SoftdrusenPED
29,AMD Part1/AMD (3)/Image (28).png,157,308,173,324,Softdrusen
30,AMD Part1/AMD (3)/Image (28).png,352,291,372,312,Softdrusen
